# layer,row,col,filter,float_value,q1.6_int,q1.6_hex
layer_0_filter_0,13,15,0,0.144874,9,0x09
layer_0_filter_0,13,16,0,0.149528,10,0x0A
layer_0_filter_0,13,17,0,0.154182,10,0x0A
layer_0_filter_0,13,18,0,0.158836,10,0x0A
layer_0_filter_0,13,19,0,0.163490,10,0x0A
layer_0_filter_0,13,20,0,0.168144,11,0x0B
layer_0_filter_0,13,21,0,0.172798,11,0x0B
layer_0_filter_0,13,22,0,0.177452,11,0x0B
layer_0_filter_0,13,23,0,0.182105,12,0x0C
layer_0_filter_0,13,24,0,0.186759,12,0x0C
layer_0_filter_0,13,25,0,0.191413,12,0x0C
layer_0_filter_0,14,0,0,0.079719,5,0x05
layer_0_filter_0,14,1,0,0.084373,5,0x05
layer_0_filter_0,14,2,0,0.089027,6,0x06
layer_0_filter_0,14,3,0,0.093681,6,0x06
layer_0_filter_0,14,4,0,0.098335,6,0x06
layer_0_filter_0,14,5,0,0.102989,7,0x07
layer_0_filter_0,14,6,0,0.107643,7,0x07
layer_0_filter_0,14,7,0,0.112297,7,0x07
layer_0_filter_0,14,8,0,0.116951,7,0x07
layer_0_filter_0,14,9,0,0.121605,8,0x08
layer_0_filter_0,14,10,0,0.126259,8,0x08
layer_0_filter_0,14,11,0,0.130912,8,0x08
layer_0_filter_0,14,12,0,0.135566,9,0x09
layer_0_filter_0,14,13,0,0.140220,9,0x09
layer_0_filter_0,14,14,0,0.144874,9,0x09
layer_0_filter_0,14,15,0,0.149528,10,0x0A
layer_0_filter_0,14,16,0,0.154182,10,0x0A
layer_0_filter_0,14,17,0,0.158836,10,0x0A
layer_0_filter_0,14,18,0,0.163490,10,0x0A
layer_0_filter_0,14,19,0,0.168144,11,0x0B
layer_0_filter_0,14,20,0,0.172798,11,0x0B
layer_0_filter_0,14,21,0,0.177452,11,0x0B
layer_0_filter_0,14,22,0,0.182105,12,0x0C
layer_0_filter_0,14,23,0,0.186759,12,0x0C
layer_0_filter_0,14,24,0,0.191413,12,0x0C
layer_0_filter_0,14,25,0,0.196067,13,0x0D
layer_0_filter_0,15,0,0,0.084373,5,0x05
layer_0_filter_0,15,1,0,0.089027,6,0x06
layer_0_filter_0,15,2,0,0.093681,6,0x06
layer_0_filter_0,15,3,0,0.098335,6,0x06
layer_0_filter_0,15,4,0,0.102989,7,0x07
layer_0_filter_0,15,5,0,0.107643,7,0x07
layer_0_filter_0,15,6,0,0.112297,7,0x07
layer_0_filter_0,15,7,0,0.116951,7,0x07
layer_0_filter_0,15,8,0,0.121605,8,0x08
layer_0_filter_0,15,9,0,0.126259,8,0x08
layer_0_filter_0,15,10,0,0.130912,8,0x08
layer_0_filter_0,15,11,0,0.135566,9,0x09
layer_0_filter_0,15,12,0,0.140220,9,0x09
layer_0_filter_0,15,13,0,0.144874,9,0x09
layer_0_filter_0,15,14,0,0.149528,10,0x0A
layer_0_filter_0,15,15,0,0.154182,10,0x0A
layer_0_filter_0,15,16,0,0.158836,10,0x0A
layer_0_filter_0,15,17,0,0.163490,10,0x0A
layer_0_filter_0,15,18,0,0.168144,11,0x0B
layer_0_filter_0,15,19,0,0.172798,11,0x0B
layer_0_filter_0,15,20,0,0.177452,11,0x0B
layer_0_filter_0,15,21,0,0.182105,12,0x0C
layer_0_filter_0,15,22,0,0.186759,12,0x0C
layer_0_filter_0,15,23,0,0.191413,12,0x0C
layer_0_filter_0,15,24,0,0.196067,13,0x0D
layer_0_filter_0,15,25,0,0.200721,13,0x0D
layer_0_filter_0,16,0,0,0.089027,6,0x06
layer_0_filter_0,16,1,0,0.093681,6,0x06
layer_0_filter_0,16,2,0,0.098335,6,0x06
layer_0_filter_0,16,3,0,0.102989,7,0x07
layer_0_filter_0,16,4,0,0.107643,7,0x07
layer_0_filter_0,16,5,0,0.112297,7,0x07
layer_0_filter_0,16,6,0,0.116951,7,0x07
layer_0_filter_0,16,7,0,0.121605,8,0x08
layer_0_filter_0,16,8,0,0.126259,8,0x08
layer_0_filter_0,16,9,0,0.130912,8,0x08
layer_0_filter_0,16,10,0,0.135566,9,0x09
layer_0_filter_0,16,11,0,0.140220,9,0x09
layer_0_filter_0,16,12,0,0.144874,9,0x09
